0,1,2,3,4,5,6,7,8,9
"Pompatus of Love, The (1996)",Children of the Corn IV: The Gathering (1996),Ponette (1996),Indochine (1992),I'm the One That I Want (2000),Elling (2001),Eddie Izzard: Dress to Kill (1999),American: The Bill Hicks Story (2009),Dylan Moran: Monster (2004),Black Mirror
Far From Home: The Adventures of Yellow Dog (1995),"Last Supper, The (1995)","Trouble with Harry, The (1955)",Gulliver's Travels (1939),Under the Sand (2000),"Closet, The (Placard, Le) (2001)",Joy Ride (2001),"Chorus Line, A (1985)",Presumed Innocent (1990),"Midnight Clear, A (1992)"
It's My Party (1996),Lesson Faust (1994),"Conformist, The (Conformista, Il) (1970)",Before Night Falls (2000),Under the Sand (2000),Elling (2001),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",American: The Bill Hicks Story (2009),Black Mirror
Children of the Corn IV: The Gathering (1996),Lesson Faust (1994),Under the Sand (2000),"Story of Women (Affaire de femmes, Une) (1988)","Passenger, The (Professione: reporter) (1975)",My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror
Children of the Corn IV: The Gathering (1996),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),I'm the One That I Want (2000),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror
Lassie (1994),Children of the Corn IV: The Gathering (1996),I'm the One That I Want (2000),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Incendies (2010),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),The Godfather Trilogy: 1972-1990 (1992),Black Mirror: White Christmas (2014),Black Mirror
Party Girl (1995),"Last Supper, The (1995)","Quiet Man, The (1952)",Afterglow (1997),"Newton Boys, The (1998)","Nights of Cabiria (Notti di Cabiria, Le) (1957)",Shaft (1971),Under the Sand (2000),Witness for the Prosecution (1957),Elling (2001)
Lassie (1994),It's My Party (1996),Beautiful Thing (1996),Children of the Corn IV: The Gathering (1996),Ponette (1996),You Can't Take It with You (1938),I'm the One That I Want (2000),Elling (2001),The Godfather Trilogy: 1972-1990 (1992),Black Mirror
Bed of Roses (1996),Far From Home: The Adventures of Yellow Dog (1995),Losing Isaiah (1995),Roommates (1995),It's My Party (1996),"Preacher's Wife, The (1996)",Ponette (1996),Before Night Falls (2000),Under the Sand (2000),Elling (2001)
Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),I'm the One That I Want (2000),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror
Party Girl (1995),Eat Drink Man Woman (Yin shi nan nu) (1994),Beautiful Thing (1996),Slap Shot (1977),"Holy Mountain, The (Montaña sagrada, La) (1973)",American: The Bill Hicks Story (2009),Samsara (2011),The Jinx: The Life and Deaths of Robert Durst (2015),Black Mirror: White Christmas (2014),Black Mirror
Far From Home: The Adventures of Yellow Dog (1995),Vanya on 42nd Street (1994),Lassie (1994),It's My Party (1996),Children of the Corn IV: The Gathering (1996),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),The Godfather Trilogy: 1972-1990 (1992)
Children of the Corn IV: The Gathering (1996),Lesson Faust (1994),"Conformist, The (Conformista, Il) (1970)","Girl on the Bridge, The (Fille sur le pont, La) (1999)",I'm the One That I Want (2000),"Chorus Line, A (1985)","Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)",Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",Sherlock - A Study in Pink (2010)
Lamerica (1994),Light Years (Gandahar) (1988),Butterfly (La lengua de las mariposas) (1999),I'm the One That I Want (2000),Galaxy of Terror (Quest) (1981),Alien Contamination (1980),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Planet Earth II (2016),Black Mirror
Fresh (1994),Lassie (1994),Beautiful Thing (1996),Children of the Corn IV: The Gathering (1996),Fireworks (Hana-bi) (1997),"Exorcist III, The (1990)",I'm the One That I Want (2000),Elling (2001),"Chorus Line, A (1985)","Midnight Clear, A (1992)"
Threesome (1994),Hard Core Logo (1996),Defending Your Life (1991),Eddie Murphy Raw (1987),Under the Sand (2000),Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",Battlestar Galactica: Razor (2007),"Separation, A (Jodaeiye Nader az Simin) (2011)"
Jules and Jim (Jules et Jim) (1961),"Conformist, The (Conformista, Il) (1970)",Before Night Falls (2000),"Closet, The (Placard, Le) (2001)","Chorus Line, A (1985)",Hunger (2008),Troll 2 (1990),Incendies (2010),"Batman: The Dark Knight Returns, Part 2 (2013)",Sherlock - A Study in Pink (2010)
Lamerica (1994),Lesson Faust (1994),Butterfly (La lengua de las mariposas) (1999),I'm the One That I Want (2000),"Story of Women (Affaire de femmes, Une) (1988)","Passenger, The (Professione: reporter) (1975)","Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979)",Strictly Sexual (2008),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993)
Children of the Corn IV: The Gathering (1996),Gulliver's Travels (1939),I'm the One That I Want (2000),"Trial, The (Procès, Le) (1962)",My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),The Jinx: The Life and Deaths of Robert Durst (2015),Black Mirror
Far From Home: The Adventures of Yellow Dog (1995),Lassie (1994),It's My Party (1996),Children of the Corn IV: The Gathering (1996),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),I'm the One That I Want (2000),The Jinx: The Life and Deaths of Robert Durst (2015)
Far From Home: The Adventures of Yellow Dog (1995),Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Beautiful Thing (1996),"Newton Boys, The (1998)",Hard Core Logo (1996),Before Night Falls (2000),Under the Sand (2000),Zero Dark Thirty (2012),La La Land (2016),Deadpool 2 (2018)
Vanya on 42nd Street (1994),Lesson Faust (1994),I'm the One That I Want (2000),Safety Last! (1923),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Troll 2 (1990),Incendies (2010),"Separation, A (Jodaeiye Nader az Simin) (2011)",Samsara (2011)
It's My Party (1996),Gods and Monsters (1998),Hard Core Logo (1996),"Lady Eve, The (1941)",Sullivan's Travels (1941),Under the Sand (2000),My Sassy Girl (Yeopgijeogin geunyeo) (2001),"Duchess, The (2008)",Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993)
It's My Party (1996),Afterglow (1997),I'm the One That I Want (2000),Elling (2001),Safety Last! (1923),"Story of Women (Affaire de femmes, Une) (1988)",My Sassy Girl (Yeopgijeogin geunyeo) (2001),Eddie Izzard: Dress to Kill (1999),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993)
Lamerica (1994),I'm the One That I Want (2000),Siam Sunset (1999),Little Murders (1971),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),"Nut Job, The (2014)",Black Mirror
Lesson Faust (1994),"Assignment, The (1997)",Mephisto (1981),I'm the One That I Want (2000),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Conversations with Other Women (2005),"Duchess, The (2008)",Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror: White Christmas (2014)
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),It's My Party (1996),Beautiful Thing (1996),Children of the Corn IV: The Gathering (1996),Under the Sand (2000),Elling (2001),Hunger (2008),Penguins of Madagascar (2014),The Jinx: The Life and Deaths of Robert Durst (2015),The Gift (2015)
Lesson Faust (1994),"Assignment, The (1997)",Mephisto (1981),I'm the One That I Want (2000),Elling (2001),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),The Jinx: The Life and Deaths of Robert Durst (2015),Black Mirror
"Three Caballeros, The (1945)",Beautiful Thing (1996),"Newton Boys, The (1998)",Saboteur (1942),Little Voice (1998),I'm the One That I Want (2000),L.I.E. (2001),No Man's Land (2001),"Education, An (2009)",Exit Through the Gift Shop (2010)
Lamerica (1994),I'm the One That I Want (2000),Siam Sunset (1999),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",Strictly Sexual (2008),"Separation, A (Jodaeiye Nader az Simin) (2011)",Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Band of Brothers (2001)
Lassie (1994),Children of the Corn IV: The Gathering (1996),Lesson Faust (1994),"Assignment, The (1997)",Mephisto (1981),I'm the One That I Want (2000),Dylan Moran: Monster (2004),The Jinx: The Life and Deaths of Robert Durst (2015),Black Mirror: White Christmas (2014),Black Mirror
Far From Home: The Adventures of Yellow Dog (1995),Lassie (1994),It's My Party (1996),Lesson Faust (1994),"Assignment, The (1997)","Conformist, The (Conformista, Il) (1970)",I'm the One That I Want (2000),Safety Last! (1923),"Wind Rises, The (Kaze tachinu) (2013)",Band of Brothers (2001)
Party Girl (1995),It's My Party (1996),Pollyanna (1960),For Roseanna (Roseanna's Grave) (1997),Metropolitan (1990),Defending Your Life (1991),Shaft (1971),Under the Sand (2000),Before Midnight (2013),The Jinx: The Life and Deaths of Robert Durst (2015)
Vanya on 42nd Street (1994),"Conformist, The (Conformista, Il) (1970)","Endless Summer, The (1966)",Under the Sand (2000),Conversations with Other Women (2005),Incendies (2010),Louis C.K.: Oh My God (2013),Black Mirror: White Christmas (2014),Black Mirror,Sherlock - A Study in Pink (2010)
Vanya on 42nd Street (1994),Lesson Faust (1994),"Assignment, The (1997)",Henry: Portrait of a Serial Killer (1986),"Draughtsman's Contract, The (1982)",Love and Death (1975),Safety Last! (1923),"Topo, El (1970)",Samsara (2011),The Jinx: The Life and Deaths of Robert Durst (2015)
Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),I'm the One That I Want (2000),"Trial, The (Procès, Le) (1962)",My Sassy Girl (Yeopgijeogin geunyeo) (2001),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror
Lesson Faust (1994),Under the Sand (2000),"Story of Women (Affaire de femmes, Une) (1988)",My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Incendies (2010),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),The Jinx: The Life and Deaths of Robert Durst (2015),Black Mirror
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Paradise Lost: The Child Murders at Robin Hood Hills (1996),"Conformist, The (Conformista, Il) (1970)","Lady Eve, The (1941)",Sullivan's Travels (1941),What Planet Are You From? (2000),Heart and Souls (1993),Elling (2001),The Jinx: The Life and Deaths of Robert Durst (2015),Band of Brothers (2001)
Toy Story (1995),Grumpier Old Men (1995),Heat (1995),Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)",From Dusk Till Dawn (1996),Bottle Rocket (1996),Braveheart (1995),Rob Roy (1995),Canadian Bacon (1995)
It's My Party (1996),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),I'm the One That I Want (2000),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)","Separation, A (Jodaeiye Nader az Simin) (2011)",Black Mirror
Party Girl (1995),Once Were Warriors (1994),Beautiful Thing (1996),Enchanted April (1992),"Girl on the Bridge, The (Fille sur le pont, La) (1999)","Closet, The (Placard, Le) (2001)","Chorus Line, A (1985)",Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",Samsara (2011)
"Assignment, The (1997)",Bent (1997),"Exorcist III, The (1990)",Mephisto (1981),I'm the One That I Want (2000),"Chorus Line, A (1985)","Trial, The (Procès, Le) (1962)","Man from Earth, The (2007)",Strictly Sexual (2008),Pirates of the Caribbean: Dead Men Tell No Tales (2017)
Lesson Faust (1994),"Assignment, The (1997)",Mephisto (1981),I'm the One That I Want (2000),"Story of Women (Affaire de femmes, Une) (1988)",My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror
Children of the Corn IV: The Gathering (1996),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),I'm the One That I Want (2000),Eddie Izzard: Dress to Kill (1999),Dylan Moran: Monster (2004),The Godfather Trilogy: 1972-1990 (1992),Black Mirror
Lassie (1994),Children of the Corn IV: The Gathering (1996),I'm the One That I Want (2000),Elling (2001),Knockin' on Heaven's Door (1997),American: The Bill Hicks Story (2009),"Nut Job, The (2014)",The Godfather Trilogy: 1972-1990 (1992),Black Mirror,Sherlock - A Study in Pink (2010)
It's My Party (1996),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Under the Sand (2000),Elling (2001),Flickering Lights (Blinkende lygter) (2000),Hunger (2008),The Jinx: The Life and Deaths of Robert Durst (2015),Sherlock - A Study in Pink (2010)
Far From Home: The Adventures of Yellow Dog (1995),Lassie (1994),It's My Party (1996),Beautiful Thing (1996),Children of the Corn IV: The Gathering (1996),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Under the Sand (2000),Incendies (2010)
Lassie (1994),Children of the Corn IV: The Gathering (1996),"Assignment, The (1997)",Bent (1997),Afterglow (1997),Mephisto (1981),Under the Sand (2000),Elling (2001),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993)
Lassie (1994),Lesson Faust (1994),"Assignment, The (1997)",Mephisto (1981),I'm the One That I Want (2000),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Incendies (2010),The Godfather Trilogy: 1972-1990 (1992),Black Mirror
Lesson Faust (1994),"Assignment, The (1997)",Mephisto (1981),I'm the One That I Want (2000),"Story of Women (Affaire de femmes, Une) (1988)","Passenger, The (Professione: reporter) (1975)",Strictly Sexual (2008),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror
Party Girl (1995),Beautiful Thing (1996),"Wolf Man, The (1941)",Gulliver's Travels (1939),Elling (2001),"Chorus Line, A (1985)",Safety Last! (1923),Samsara (2011),The Jinx: The Life and Deaths of Robert Durst (2015),The Godfather Trilogy: 1972-1990 (1992)
It's My Party (1996),"Assignment, The (1997)",Bent (1997),Mephisto (1981),Under the Sand (2000),Hangar 18 (1980),Galaxy of Terror (Quest) (1981),Alien Contamination (1980),"Nut Job, The (2014)",The Jinx: The Life and Deaths of Robert Durst (2015)
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Ponette (1996),All Quiet on the Western Front (1930),You Can't Take It with You (1938),Husbands and Wives (1992),Eddie Izzard: Dress to Kill (1999),"Brothers Bloom, The (2008)",Dylan Moran: Monster (2004),I Origins (2014),Black Mirror: White Christmas (2014)
Children of the Corn IV: The Gathering (1996),I'm the One That I Want (2000),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",Incendies (2010),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),The Jinx: The Life and Deaths of Robert Durst (2015),Black Mirror: White Christmas (2014),Black Mirror
Roommates (1995),Vanya on 42nd Street (1994),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),I'm the One That I Want (2000),Elling (2001),Incendies (2010),Black Mirror: White Christmas (2014)
It's My Party (1996),Lesson Faust (1994),Afterglow (1997),"Gods Must Be Crazy II, The (1989)",Phantasm II (1988),Before Night Falls (2000),Under the Sand (2000),Elling (2001),The Man from Nowhere (2010),"Nut Job, The (2014)"
"Wild Bunch, The (1969)","Sex, Lies, and Videotape (1989)",Waiting for Guffman (1996),Afterglow (1997),"Nights of Cabiria (Notti di Cabiria, Le) (1957)",Defending Your Life (1991),"Chorus Line, A (1985)",Man on Wire (2008),Louis C.K.: Hilarious (2010),"Nut Job, The (2014)"
Lesson Faust (1994),Under the Sand (2000),Thief (1981),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror
Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),Elling (2001),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),The Godfather Trilogy: 1972-1990 (1992),Black Mirror
It's My Party (1996),Beautiful Thing (1996),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),I'm the One That I Want (2000),"Trial, The (Procès, Le) (1962)",The Godfather Trilogy: 1972-1990 (1992),Black Mirror
Far From Home: The Adventures of Yellow Dog (1995),Lassie (1994),"Adventures of Pinocchio, The (1996)",Children of the Corn IV: The Gathering (1996),Lesson Faust (1994),"Conformist, The (Conformista, Il) (1970)",I'm the One That I Want (2000),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)","Separation, A (Jodaeiye Nader az Simin) (2011)"
Lesson Faust (1994),I'm the One That I Want (2000),Elling (2001),"Story of Women (Affaire de femmes, Une) (1988)",My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),"Nut Job, The (2014)",The Jinx: The Life and Deaths of Robert Durst (2015),The Godfather Trilogy: 1972-1990 (1992),Black Mirror
Eat Drink Man Woman (Yin shi nan nu) (1994),Once Were Warriors (1994),Roommates (1995),"Adventures of Robin Hood, The (1938)",Beautiful Thing (1996),Little Voice (1998),I'm the One That I Want (2000),Elling (2001),Troll 2 (1990),The Jinx: The Life and Deaths of Robert Durst (2015)
Vanya on 42nd Street (1994),Fresh (1994),It's My Party (1996),Lesson Faust (1994),Under the Sand (2000),"Trial, The (Procès, Le) (1962)",Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",Samsara (2011),Black Mirror: White Christmas (2014)
Lesson Faust (1994),I'm the One That I Want (2000),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Troll 2 (1990),American: The Bill Hicks Story (2009),"Separation, A (Jodaeiye Nader az Simin) (2011)",Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror: White Christmas (2014),Black Mirror
Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),I'm the One That I Want (2000),Elling (2001),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror
Far From Home: The Adventures of Yellow Dog (1995),Lassie (1994),It's My Party (1996),Beautiful Thing (1996),Children of the Corn IV: The Gathering (1996),Under the Sand (2000),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",Penguins of Madagascar (2014),Band of Brothers (2001)
Fresh (1994),"Closet, The (Placard, Le) (2001)","Midnight Clear, A (1992)","Story of Women (Affaire de femmes, Une) (1988)",Strictly Sexual (2008),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),The Godfather Trilogy: 1972-1990 (1992),Black Mirror: White Christmas (2014),Black Mirror
It's My Party (1996),Beautiful Thing (1996),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Afterglow (1997),I'm the One That I Want (2000),Elling (2001),Incendies (2010),The Jinx: The Life and Deaths of Robert Durst (2015)
Lamerica (1994),"Assignment, The (1997)",Mephisto (1981),Under the Sand (2000),Thief (1981),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror
It's My Party (1996),Beautiful Thing (1996),Lesson Faust (1994),"Conformist, The (Conformista, Il) (1970)",I'm the One That I Want (2000),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)","Man from Earth, The (2007)","Secret in Their Eyes, The (El secreto de sus ojos) (2009)",Band of Brothers (2001)
Far From Home: The Adventures of Yellow Dog (1995),Children of the Corn IV: The Gathering (1996),I'm the One That I Want (2000),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",My Sassy Girl (Yeopgijeogin geunyeo) (2001),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),"Wind Rises, The (Kaze tachinu) (2013)",Black Mirror: White Christmas (2014)
Beautiful Thing (1996),Under the Sand (2000),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",Knockin' on Heaven's Door (1997),Troll 2 (1990),Samsara (2011),"Heat, The (2013)",Avengers: Infinity War - Part I (2018),Band of Brothers (2001)
Vanya on 42nd Street (1994),Beautiful Thing (1996),I'm the One That I Want (2000),"Trial, The (Procès, Le) (1962)",American: The Bill Hicks Story (2009),"Separation, A (Jodaeiye Nader az Simin) (2011)",Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Black Mirror: White Christmas (2014),Black Mirror
White Squall (1996),"Scarlet Letter, The (1995)",Roommates (1995),"Three Caballeros, The (1945)","Newton Boys, The (1998)","Black Cauldron, The (1985)","Great Mouse Detective, The (1986)","Wolf Man, The (1941)",Shaft (1971),"Closet, The (Placard, Le) (2001)"
Party Girl (1995),Lesson Faust (1994),Ponette (1996),"Assignment, The (1997)",Bent (1997),Afterglow (1997),Mephisto (1981),I'm the One That I Want (2000),"Separation, A (Jodaeiye Nader az Simin) (2011)",Planet Earth II (2016)
It's My Party (1996),Lesson Faust (1994),I'm the One That I Want (2000),Hangar 18 (1980),Galaxy of Terror (Quest) (1981),Alien Contamination (1980),Dylan Moran: Monster (2004),The Jinx: The Life and Deaths of Robert Durst (2015),Black Mirror: White Christmas (2014),Black Mirror
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Eat Drink Man Woman (Yin shi nan nu) (1994),Vanya on 42nd Street (1994),Laura (1944),Raise the Red Lantern (Da hong deng long gao gao gua) (1991),"Exorcist III, The (1990)",Double Indemnity (1944),Flickering Lights (Blinkende lygter) (2000),Troll 2 (1990),"Separation, A (Jodaeiye Nader az Simin) (2011)"
Lassie (1994),Children of the Corn IV: The Gathering (1996),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),Under the Sand (2000),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",The Jinx: The Life and Deaths of Robert Durst (2015)
Party Girl (1995),Far From Home: The Adventures of Yellow Dog (1995),Lassie (1994),It's My Party (1996),Beautiful Thing (1996),Children of the Corn IV: The Gathering (1996),Afterglow (1997),Under the Sand (2000),Elling (2001),Safety Last! (1923)
Lassie (1994),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),I'm the One That I Want (2000),Galaxy of Terror (Quest) (1981),Alien Contamination (1980),Dylan Moran: Monster (2004),Black Mirror
Lesson Faust (1994),I'm the One That I Want (2000),"Chorus Line, A (1985)",Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)","Separation, A (Jodaeiye Nader az Simin) (2011)",Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Penguins of Madagascar (2014),Black Mirror
Roommates (1995),I'm the One That I Want (2000),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),"Separation, A (Jodaeiye Nader az Simin) (2011)",Dylan Moran: Monster (2004),Samsara (2011),Bill Hicks: Revelations (1993)
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Local Hero (1983),Ponette (1996),Indochine (1992),My Life (1993),I'm the One That I Want (2000),Elling (2001),Taxi 2 (2000),"Heat, The (2013)",The Godfather Trilogy: 1972-1990 (1992)
